spectral-norm ; 5.719299316406250000, 5.669494628906250000, 0.000000000000000000, 0.124145507812500000,  218.92 
spectral-norm ; 5.611267089843750000, 5.546997070312500000, 0.000000000000000000, 0.122680664062500000,  215.983 
spectral-norm ; 5.684570312500000000, 5.604858398437500000, 0.000000000000000000, 0.126770019531250000,  218.595 
spectral-norm ; 5.690429687500000000, 5.620910644531250000, 0.000000000000000000, 0.124328613281250000,  217.896 
spectral-norm ; 5.733581542968750000, 5.682983398437500000, 0.000000000000000000, 0.123657226562500000,  218.574 
spectral-norm ; 5.670715332031250000, 5.608703613281250000, 0.000000000000000000, 0.123352050781250000,  217.513 
spectral-norm ; 5.950805664062500000, 5.885009765625000000, 0.000000000000000000, 0.138366699218750000,  230.315 
spectral-norm ; 5.650573730468750000, 5.574645996093750000, 0.000000000000000000, 0.123474121093750000,  216.291 
spectral-norm ; 5.675292968750000000, 5.610534667968750000, 0.000000000000000000, 0.123046875000000000,  217.222 
fasta ; 19.513854980468750000, 19.167907714843750000, 0.000000000000000000, 0.690063476562500000,  1048.2 
fasta ; 19.546081542968750000, 19.190307617187500000, 0.000000000000000000, 0.693542480468750000,  1054.49 
fasta ; 19.767211914062500000, 19.424865722656250000, 0.000000000000000000, 0.704040527343750000,  1060.73 
fasta ; 19.693603515625000000, 19.334411621093750000, 0.000000000000000000, 0.695373535156250000,  1054.57 
fasta ; 19.497436523437500000, 19.153808593750000000, 0.000000000000000000, 0.685546875000000000,  1046.35 
fasta ; 19.747314453125000000, 19.396301269531250000, 0.000000000000000000, 0.696166992187500000,  1064.04 
fasta ; 19.618103027343750000, 19.265075683593750000, 0.000000000000000000, 0.684204101562500000,  1044.61 
fasta ; 19.737854003906250000, 19.385498046875000000, 0.000000000000000000, 0.693481445312500000,  1058.92 
fasta ; 19.633666992187500000, 19.282592773437500000, 0.000000000000000000, 0.685363769531250000,  1045.75 
fasta ; 19.583618164062500000, 19.240112304687500000, 0.000000000000000000, 0.684753417968750000,  1044.37 
pidigits ; 5.939331054687500000, 5.679321289062500000, 0.000000000000000000, 0.487060546875000000,  854.125 
pidigits ; 5.909729003906250000, 5.648864746093750000, 0.000000000000000000, 0.484558105468750000,  854.696 
pidigits ; 5.931152343750000000, 5.671630859375000000, 0.000000000000000000, 0.490966796875000000,  852.96 
pidigits ; 5.930664062500000000, 5.670959472656250000, 0.000000000000000000, 0.485229492187500000,  853.491 
pidigits ; 5.865600585937500000, 5.611511230468750000, 0.000000000000000000, 0.484069824218750000,  851.811 
pidigits ; 6.082336425781250000, 5.820983886718750000, 0.000000000000000000, 0.501708984375000000,  854.063 
pidigits ; 5.943481445312500000, 5.684509277343750000, 0.000000000000000000, 0.488098144531250000,  856.015 
pidigits ; 5.926574707031250000, 5.667114257812500000, 0.000000000000000000, 0.485351562500000000,  858.922 
pidigits ; 5.902770996093750000, 5.641174316406250000, 0.000000000000000000, 0.485229492187500000,  852.551 
pidigits ; 5.935852050781250000, 5.681518554687500000, 0.000000000000000000, 0.485656738281250000,  854.62 
n-body ; 18.942077636718750000, 18.106201171875000000, 0.000000000000000000, 1.562377929687500000,  2753.31 
n-body ; 18.988037109375000000, 18.160827636718750000, 0.000000000000000000, 1.567687988281250000,  2752.93 
n-body ; 19.002441406250000000, 18.167785644531250000, 0.000000000000000000, 1.562805175781250000,  2752.86 
n-body ; 18.974426269531250000, 18.139099121093750000, 0.000000000000000000, 1.561767578125000000,  2752.81 
n-body ; 19.059082031250000000, 18.224426269531250000, 0.000000000000000000, 1.564270019531250000,  2752.68 
n-body ; 18.933105468750000000, 18.108459472656250000, 0.000000000000000000, 1.560607910156250000,  2752.63 
n-body ; 18.879394531250000000, 18.053344726562500000, 0.000000000000000000, 1.561950683593750000,  2752.58 
n-body ; 18.849853515625000000, 18.026245117187500000, 0.000000000000000000, 1.560424804687500000,  2753.02 
n-body ; 18.931335449218750000, 18.103942871093750000, 0.000000000000000000, 1.564514160156250000,  2752.87 
n-body ; 18.979003906250000000, 18.149841308593750000, 0.000000000000000000, 1.561523437500000000,  2753.35 
